timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839966.973, lauv-xplore-1, Mainboard (Core), 25.562
1516839966.974, lauv-xplore-1, Mainboard (SuperIO), 23.312
1516839966.974, lauv-xplore-1, Mainboard (Board), 21.500
1516839967.011, lauv-xplore-1, Power Supply, 14.000
1516839967.061, lauv-xplore-1, Depth Sensor, 10.414
1516839967.161, lauv-xplore-1, Depth Sensor, 10.414
1516839967.221, lauv-xplore-1, Power Supply, 14.000
1516839967.227, lauv-xplore-1, Power Supply, 14.000
1516839967.261, lauv-xplore-1, Depth Sensor, 10.414
1516839967.340, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839967.340, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839967.340, lauv-xplore-1, Motor, 10.000
1516839967.362, lauv-xplore-1, Depth Sensor, 10.414
1516839967.462, lauv-xplore-1, Depth Sensor, 10.414
1516839967.511, lauv-xplore-1, Power Supply, 14.000
1516839967.562, lauv-xplore-1, Depth Sensor, 10.414
1516839967.661, lauv-xplore-1, Depth Sensor, 10.414
1516839967.711, lauv-xplore-1, Power Supply, 14.000
1516839967.761, lauv-xplore-1, Depth Sensor, 10.414
1516839967.811, lauv-xplore-1, Water Quality Sensor, 14.055
1516839967.861, lauv-xplore-1, Depth Sensor, 10.414
1516839967.911, lauv-xplore-1, Power Supply, 14.000
1516839967.961, lauv-xplore-1, Depth Sensor, 10.414
1516839967.974, lauv-xplore-1, Mainboard (Core), 25.375
1516839967.974, lauv-xplore-1, Mainboard (SuperIO), 23.062
1516839967.975, lauv-xplore-1, Mainboard (Board), 21.687
1516839968.062, lauv-xplore-1, Depth Sensor, 10.414
1516839968.112, lauv-xplore-1, Power Supply, 14.000
1516839968.162, lauv-xplore-1, Depth Sensor, 10.414
1516839968.253, lauv-xplore-1, Power Supply, 14.000
1516839968.259, lauv-xplore-1, Power Supply, 14.000
1516839968.262, lauv-xplore-1, Depth Sensor, 10.414
1516839968.311, lauv-xplore-1, Power Supply, 14.000
1516839968.361, lauv-xplore-1, Depth Sensor, 10.414
1516839968.461, lauv-xplore-1, Depth Sensor, 10.414
1516839968.561, lauv-xplore-1, Depth Sensor, 10.414
1516839968.662, lauv-xplore-1, Depth Sensor, 10.414
1516839968.762, lauv-xplore-1, Depth Sensor, 10.414
1516839968.811, lauv-xplore-1, Water Quality Sensor, 14.060
1516839968.813, lauv-xplore-1, Power Supply, 14.000
1516839968.861, lauv-xplore-1, Depth Sensor, 10.414
1516839968.961, lauv-xplore-1, Depth Sensor, 10.414
1516839968.973, lauv-xplore-1, Mainboard (Core), 25.375
1516839968.974, lauv-xplore-1, Mainboard (SuperIO), 23.062
1516839968.974, lauv-xplore-1, Mainboard (Board), 21.687
1516839969.011, lauv-xplore-1, Power Supply, 14.000
